Cargador Portatil para Smartphone Sony CP-VL;fisico;Pre-cargado para cargar Smartphones y/o Tablets al instante.Batería de polímero de litio con alta capacidad de 1400mAh (fabricada por Sony).Hasta 1 cargas a tu Smartphone en cualquier lugar.Corriente de salida de 1.5A para cargar rápido.Diseño ultra delgado en aluminio.Compatible con Xperia, iPhone, BlackBerry, GALAXY & más.Luces LED indican estado de carga y batería remanente.Incluye cable USB/Micro-USB.Fácil de usar 1. Conecta tu Smartphone u otro dispositivo mediante el cable USB/Micro-USB. 2. Carga donde quieras, cuando quieras. 3. Recarga tu CP-V3 Ideal para estos dispositivos portátiles;540;30;Sony
Farol Spinit Multi Charger Solar;fisico;"Recargable: Energía solar, Dinamo, 12 Volt
    6 LEDS de alta potencia y bajo consumo
    Terminación goma laqueada
    Tamaño compacto, altura: 22 cm";570;20;Baraldo
Conservadora Lunchera Capacidad 5 Lts;fisico;Medidas: 290 X 180 X 180. Totalmente Hermetica. Elevada resistencia.Poliestileno expandido en todas sus superficies.Posee aislante termico en su tapa y evita que el sol altere la temperatura interna.;570;20;Kiero
Mochila Montagne Modelo Yoda;fisico;"Capacidad: 8 Lts.Material: Poliéster 100% 600Dx600D con recubrimiento PU.Descripción: Acceso superior.Bolsillo fronRecibirás tu premio en el domicilio que nos indiques dentro de los próximos 15 días hábiles. Para enterarte de todas las novedades de Club Personal ingresá a Actualizá tus Datos y completá tu e-mail.
tal.Correas regulables.";580;20;Montagne
Mochila PlayStation;fisico;"Mochila de 18"" estampada y bordada PSP, con un bolsillo amplio frontal y dos laterales con cierre.";590;20;Solci
 Auriculares Sony Modelo MDR-ZX110;fisico;"Almohadillas cómodas, que permiten escuchar música por horas.
Controladores que ofrecen un amplio rango de frecuencia para escuchar con nitidez.
Soporte para bajos de excelente nivel.
Al envolver tus oídos, las Almohadillas canceladoras de ruido, generan una apreciación superior al sonido, sin estresar tus oídos a altos niveles de volumen.
";590;20;Sony
Auriculares Sony Modelo MDR-ZX310;fisico;"Caracteristicas Almohadillas cómodas, que permiten escuchar música por horas. Controladores que ofrecen un amplio rango de frecuencia para escuchar con nitidez. Soporte para bajos de excelente nivel. Al envolver tus oídos, las Almohadillas canceladoras de ruido, generan una apreciación superior al sonido, sin estresar tus oídos a altos niveles de volumen.
";710;30;Sony
Parlante Portátil Bluetooth Noganet Mod P29BT;fisico;"Recibe sonido vía Bluetooth
También para Celulares, MP3/MP4, CD Player, etc. 3W de Potencia. Controles en la parte superior. Entrada Auxiliar miniplug 3.5 Stereo (cable incluido).Alimentación DC-5V por mini USB (cable incluido). Funciona con Batería de Litio";790;30;Noganet
Farol de noche LED;fisico;Farol de aluminio. Descripción: Rango de 8 mts. aprox.Tiempo de trabajo 600 min.Funciona con 3 pilas AA (no incluídas) ;820;20;Montagne
Parlante Noganet Modelo Jumper;fisico;25 de potencia total. Power switch ON/OFF. Entrada auxiliar de audio. Control de volumen. Control de bajos reforzados. Salida de auriculares. Entrada de microfono. Medidas: subwoofer 13,5 x 20,3 x 19 cm. Tweeters 7,5 x 5,05 x 16,65 cm;830;30;Noganet
Parlantes Inalámbrico Bluetooth Philips BT50B;fisico;Parlantes Inalámbrico Bluetooth.Micrófono incorporado.Tecnología NFC .Función MultiPair para asociar dos dispositivos Bluetooth al mismo tiempo.Control de volúmen incorporado.Batería recargable (10 hrs.)Potencia 10W Stereo.Entrada de audio (3.5mm).Alcance Bluetooth: 10 metros;880;30;Philips
Gift Card Montagne $750;fisico;Valor nominal 750 pesos argentinos. Recibirás la Gift Card en tu domicilio sin cargo. Sólo válida para adquirir productos marca MONTAGNE. No acumulables con otras promociones vigentes.No se puede canjear la gift card por dinero.La gift card se debe consumir en su totalidad (no se hacen notas de crédito).Queda fuera de la promoción el calzado.Se puede canjear en locales de Outlet y de primera. Vigencia de las Gift 90 días hábiles de recibida.;890;50;Montagne
Auriculares y Parlantes Noganet Modelo NG-A10;fisico;Auriculares. Control de Volumen, Play/Pausa, Anterior/Siguiente Canción, FM Tuner (todo en un sólo control). Botón Modo AURICULAR / PARLANTE (3W de Potencia). Botón EQ: brinda la opción de diferentes ecualizaciones. Lector de Tarjeta Micro SD de hasta 16GB. Función Radio FM: se activa automáticamente cuando no está colocada la Tarjeta. Entrada Auxiliar para usar con PC, MP3 Player, CD Player, por cable miniplug 3.5 mm Stereo (incluido). Batería interna de Litio;920;30;Noganet
